Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Price,Variant Compare At Price,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Requires Shipping,Variant Taxable,Image Src,Status
naksh-circular-beaded-rakhi,Naksh Circular Beaded Rakhi Box,A premium gift box containing 4 circular beaded Rakhis/Lumbas in vibrant green orange and yellow colors.,Naksh Rakhi,Classic Rakhi,"Thread, Handmade, Beaded",true,Color,Kumkum Red,399.00,599.00,NK-CIRC-RED,30,,999,continue,true,true,https://raw.githubusercontent.com/mansimratpannu/rakshabandhan/main/assets/img_4901.jpg,active
naksh-tree-of-life-fancy-rakhi-set,Naksh Tree of Life Fancy Rakhi Set,A beautiful set of 4 tree of life diamond-studded beaded bracelets on soft cushions.,Naksh Rakhi,Fancy Rakhi,"Fancy, Set, Premium",true,Style,Standard,799.00,1199.00,NK-BB-TREE,50,,999,continue,true,true,https://raw.githubusercontent.com/mansimratpannu/rakshabandhan/main/assets/img_4902.jpg,active
madhav-kids-spiderman-4pack-rakhi,Madhav Kids Spiderman 4-Pack Rakhi,A beautiful set of 4 Spiderman character wrist Rakhis presented in custom cartoon card packaging.,Madhav Rakhi,Kids Rakhi,"Kids, Cartoon, Spiderman",true,Style,Standard,299.00,499.00,NK-KD-SPID-4PK,25,,999,continue,true,true,https://raw.githubusercontent.com/mansimratpannu/rakshabandhan/main/assets/img_4903.jpg,active
naksh-kids-cartoon-rakhi,Naksh Kids Cartoon Character Rakhi,A cute colorful kids wrist rakhi featuring popular cartoon characters on soft adjustable straps.,Naksh Rakhi,Kids Rakhi,"Kids, Cartoon",true,Character,Cartoon Bear,149.00,249.00,NK-KD-BEAR,15,,999,continue,true,true,https://raw.githubusercontent.com/mansimratpannu/rakshabandhan/main/assets/img_4904.jpg,active
naksh-kids-spinner-spiderman-rakhi,Navrang Kids Spiderman Spinner Toy Box,A wholesale display box of 12 flashing Spiderman spinner toy Rakhis that kids will love.,Navrang Rakhi,Kids Rakhi,"Kids, Spinner, Toy",true,Box Size,Box of 12,1199.00,1799.00,NK-KD-SPIN12,300,,999,continue,true,true,https://raw.githubusercontent.com/mansimratpannu/rakshabandhan/main/assets/img_4905.jpg,active
naksh-designer-letter-beaded-fancy-rakhi-set,Naksh Designer Letter Beaded Fancy Rakhi Set,A designer set of 4 gold letter-emblem beaded bracelet Rakhis on soft velvet cushions.,Naksh Rakhi,Fancy Rakhi,"Fancy, Set, Premium",true,Style,Standard,99.00,149.00,NK-TH-TRAD,100,,999,continue,true,true,https://raw.githubusercontent.com/mansimratpannu/rakshabandhan/main/assets/img_4906.jpg,active
navrang-kids-spiderman-doll-12-box,Navrang Kids Spiderman Doll 12-Box,A wholesale box containing 12 cartoon Spiderman doll figures for kids.,Navrang Rakhi,Kids Rakhi,"Kids, Cartoon, Spiderman",true,Box Size,Box of 12,249.00,399.00,NK-LM-BEAD,300,,999,continue,true,true,https://raw.githubusercontent.com/mansimratpannu/rakshabandhan/main/assets/img_4907.jpg,active
naksh-silver-plated-om-rakhi,Naksh Silver Plated Om Rakhi,A sterling silver-plated Om emblem on a soft red silk threat with side beads.,Naksh Rakhi,Classic Rakhi,"Silver, Silk, Om",true,Style,Standard,499.00,699.00,NK-SLV-OM,20,,999,continue,true,true,https://raw.githubusercontent.com/mansimratpannu/rakshabandhan/main/assets/img_4908.jpg,active
naksh-zardosi-embroidered-rakhi,Naksh Premium Zardosi Embroidered Rakhi,Artisanal zardosi gold thread wire embroidery handcrafted by Rajasthan weavers.,Naksh Rakhi,Classic Rakhi,"Thread, Zardosi, Handmade",true,Design,Gold Peacock,349.00,499.00,NK-ZAR-PEA,20,,999,continue,true,true,https://raw.githubusercontent.com/mansimratpannu/rakshabandhan/main/assets/img_4909.jpg,active
naksh-rudraksha-diamond-rakhi,Naksh Rudraksha Bracelet with Diamond,Genuine Rudraksha beads strung on a gold-plated double wire with a sparkling central diamond cluster.,Naksh Rakhi,Classic Rakhi,"Rudraksha, Bracelet, Diamond",true,Style,Double Strand,599.00,899.00,NK-RUD-DIA,40,,999,continue,true,true,https://raw.githubusercontent.com/mansimratpannu/rakshabandhan/main/assets/img_4910.jpg,active
pristine-luxury-boxed-single-rakhi,Pristine Luxury Boxed Single Rakhi,A premium gold-plated single Rakhi presented on a plush red velvet cushion inside a golden-foiled gift box.,Pristine Rakhi,Classic Rakhi,"Thread, Handmade, Premium",true,Style,Standard,499.00,699.00,NK-PRIST-SINGLE,150,,999,continue,true,true,https://raw.githubusercontent.com/mansimratpannu/rakshabandhan/main/assets/img_4911.jpg,active
naksh-4pack-circular-gold-rakhi,Naksh 4-Pack Circular Gold Rakhi,A beautiful box containing 4 circular gold-plated center Rakhis featuring red floral designs on cards.,Naksh Rakhi,Classic Rakhi,"Thread, Handmade, Beaded",true,Style,Standard,699.00,999.00,NK-4PC-CIRC-GOLD,120,,999,continue,true,true,https://raw.githubusercontent.com/mansimratpannu/rakshabandhan/main/assets/img_4914.jpg,active
naksh-square-crystal-beaded-fancy-rakhi-set,Naksh Square Crystal Beaded Fancy Rakhi Set,A designer set of 4 square crystal beaded bracelet Rakhis on plush cushions.,Naksh Rakhi,Fancy Rakhi,"Fancy, Handmade, Beaded",true,Style,Standard,329.00,499.00,NK-LM-TEAL,150,,999,continue,true,true,https://raw.githubusercontent.com/mansimratpannu/rakshabandhan/main/assets/img_4915.jpg,active
