Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Price,Variant Compare At Price,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Requires Shipping,Variant Taxable,Image Src,Status
naksh-circular-beaded-rakhi,Naksh Circular Beaded Rakhi Box,A premium gift box containing 4 circular beaded Rakhis/Lumbas in vibrant green orange and yellow colors.,Naksh Rakhi,Classic Rakhi,"Thread, Handmade, Beaded",true,Color,Kumkum Red,399.00,599.00,NK-CIRC-RED,30,shopify,150,deny,true,true,img_4901.jpg,active
naksh-tree-of-life-lumba-set,Naksh Tree of Life Bracelet Set,A beautiful set of 4 tree of life diamond-studded beaded bracelets on soft cushions.,Naksh Rakhi,Bhaiya-Bhabhi Set,"Lumba, Set, Premium",true,Style,Standard,799.00,1199.00,NK-BB-TREE,50,shopify,80,deny,true,true,img_4902.jpg,active
naksh-swastik-gold-rakhi,Naksh Swastik Gold-plated Rakhi,An elegant gold-plated Swastik motif centerpiece woven with premium saffron threads.,Naksh Rakhi,Classic Rakhi,"Thread, Gold, Swastik",true,Style,Standard,299.00,499.00,NK-SWA-GLD,20,shopify,120,deny,true,true,img_4903.jpg,active
naksh-kids-cartoon-rakhi,Naksh Kids Cartoon Character Rakhi,A cute colorful kids wrist rakhi featuring popular cartoon characters on soft adjustable straps.,Naksh Rakhi,Kids Rakhi,"Kids, Cartoon",true,Character,Cartoon Bear,149.00,249.00,NK-KD-BEAR,15,shopify,200,deny,true,true,img_4904.jpg,active
naksh-kids-spinner-spiderman-rakhi,Navrang Kids Spiderman Spinner Toy Box,A wholesale display box of 12 flashing Spiderman spinner toy Rakhis that kids will love.,Navrang Rakhi,Kids Rakhi,"Kids, Spinner, Toy",true,Box Size,Box of 12,1199.00,1799.00,NK-KD-SPIN12,300,shopify,40,deny,true,true,img_4905.jpg,active
naksh-traditional-thread-rakhi,Naksh Traditional Cotton Thread Rakhi,Hand-braided auspicious red and yellow cotton threads wrapped in standard retail cards.,Naksh Rakhi,Classic Rakhi,"Thread, Cotton, Traditional",true,Style,Standard,99.00,149.00,NK-TH-TRAD,10,shopify,300,deny,true,true,img_4906.jpg,active
naksh-beaded-lumba-rakhi,Naksh Colorful Beaded Lumba,An elegant hanging wrist lumba for bhabhi decorated with tassels and glass beads.,Naksh Rakhi,Lumba,"Lumba, Beaded",true,Color,Assorted,249.00,399.00,NK-LM-BEAD,25,shopify,180,deny,true,true,img_4907.jpg,active
naksh-silver-plated-om-rakhi,Naksh Silver Plated Om Rakhi,A sterling silver-plated Om emblem on a soft red silk threat with side beads.,Naksh Rakhi,Premium Rakhi,"Silver, Silk, Om",true,Style,Standard,499.00,699.00,NK-SLV-OM,20,shopify,90,deny,true,true,img_4908.jpg,active
naksh-zardosi-embroidered-rakhi,Naksh Premium Zardosi Embroidered Rakhi,Artisanal zardosi gold thread wire embroidery handcrafted by Rajasthan weavers.,Naksh Rakhi,Premium Rakhi,"Thread, Zardosi, Handmade",true,Design,Gold Peacock,349.00,499.00,NK-ZAR-PEA,20,shopify,110,deny,true,true,img_4909.jpg,active
naksh-rudraksha-diamond-rakhi,Naksh Rudraksha Bracelet with Diamond,Genuine Rudraksha beads strung on a gold-plated double wire with a sparkling central diamond cluster.,Naksh Rakhi,Premium Rakhi,"Rudraksha, Bracelet, Diamond",true,Style,Double Strand,599.00,899.00,NK-RUD-DIA,40,shopify,70,deny,true,true,img_4910.jpg,active
